strategy,sector,regime,signals,win_rate,avg_r,alpha,best_session,flag,quality_score
futures_trend,health,bull_trending,13,46.2,21.61,14.88,mid,LOW_SAMPLE,25.588
futures_trend,health,bull_choppy,0,0.0,0.0,-3.86,mid,LOW_SAMPLE,0.0
futures_trend,health,bear_trending,4,75.0,12.5,16.86,mid,LOW_SAMPLE,12.996
futures_trend,health,bear_choppy,0,0.0,0.0,-3.86,mid,LOW_SAMPLE,0.0
momentum,energy,bull_trending,25,64.0,34.83,63.28,mid,LOW_SAMPLE,71.75
momentum,energy,bull_choppy,9,66.7,30.89,38.35,mid,LOW_SAMPLE,45.248
momentum,energy,bear_trending,1,0.0,-189.03,-41.02,mid,LOW_SAMPLE,0.0
momentum,energy,bear_choppy,5,60.0,50.79,1.42,mid,LOW_SAMPLE,49.042
mean_reversion,energy,bull_trending,20,10.0,-81.19,-135.82,mid,LOW_SAMPLE,0.0
mean_reversion,energy,bull_choppy,16,0.0,-152.01,-133.53,mid,LOW_SAMPLE,0.0
mean_reversion,energy,bear_trending,2,50.0,57.99,-13.8,mid,LOW_SAMPLE,20.097
mean_reversion,energy,bear_choppy,3,100.0,121.01,5.51,mid,LOW_SAMPLE,132.944
breakout,energy,bull_trending,8,62.5,16.73,11.59,mid,LOW_SAMPLE,21.749
breakout,energy,bull_choppy,4,100.0,130.28,21.85,mid,LOW_SAMPLE,180.61
breakout,energy,bear_trending,1,0.0,-192.12,-43.37,mid,LOW_SAMPLE,0.0
breakout,energy,bear_choppy,0,0.0,0.0,-34.78,mid,LOW_SAMPLE,0.0
supertrend,energy,bull_trending,23,39.1,-44.25,-5.59,mid,LOW_SAMPLE,0.0
supertrend,energy,bull_choppy,10,50.0,-4.77,17.36,mid,LOW_SAMPLE,0.0
supertrend,energy,bear_trending,2,50.0,47.97,-21.45,mid,LOW_SAMPLE,16.624
supertrend,energy,bear_choppy,4,0.0,-102.17,-50.74,mid,LOW_SAMPLE,0.0
stoch_rsi,energy,bull_trending,14,57.1,43.92,31.65,mid,LOW_SAMPLE,66.237
stoch_rsi,energy,bull_choppy,3,100.0,196.98,15.06,mid,LOW_SAMPLE,216.405
stoch_rsi,energy,bear_trending,0,0.0,0.0,-34.78,mid,LOW_SAMPLE,0.0
stoch_rsi,energy,bear_choppy,6,0.0,-110.33,-71.15,mid,LOW_SAMPLE,0.0
vwap_reclaim,energy,bull_trending,0,0.0,0.0,-34.78,mid,LOW_SAMPLE,0.0
vwap_reclaim,energy,bull_choppy,0,0.0,0.0,-34.78,mid,LOW_SAMPLE,0.0
vwap_reclaim,energy,bear_trending,0,0.0,0.0,-34.78,mid,LOW_SAMPLE,0.0
vwap_reclaim,energy,bear_choppy,0,0.0,0.0,-34.78,mid,LOW_SAMPLE,0.0
gap,energy,bull_trending,17,58.8,-5.14,1.62,mid,LOW_SAMPLE,0.0
gap,energy,bull_choppy,5,60.0,99.99,9.56,mid,LOW_SAMPLE,96.555
gap,energy,bear_trending,0,0.0,0.0,-34.78,mid,LOW_SAMPLE,0.0
gap,energy,bear_choppy,5,0.0,-99.71,-57.79,mid,LOW_SAMPLE,0.0
liquidity_sweep,energy,bull_trending,13,38.5,-46.64,-42.2,mid,LOW_SAMPLE,0.0
liquidity_sweep,energy,bull_choppy,7,28.6,-50.65,-33.38,mid,LOW_SAMPLE,0.0
liquidity_sweep,energy,bear_trending,0,0.0,0.0,-34.78,mid,LOW_SAMPLE,0.0
liquidity_sweep,energy,bear_choppy,6,16.7,-54.65,-42.22,mid,LOW_SAMPLE,0.0
futures_trend,energy,bull_trending,29,51.7,17.07,72.17,mid,LOW_SAMPLE,29.731
futures_trend,energy,bull_choppy,2,50.0,45.9,-19.04,mid,LOW_SAMPLE,15.908
futures_trend,energy,bear_trending,3,0.0,-188.62,-59.44,mid,LOW_SAMPLE,0.0
futures_trend,energy,bear_choppy,1,0.0,-76.07,-38.88,mid,LOW_SAMPLE,0.0
momentum,industrial,bull_trending,14,35.7,-45.18,-19.85,mid,LOW_SAMPLE,0.0
momentum,industrial,bull_choppy,20,40.0,9.24,-1.52,mid,LOW_SAMPLE,11.07
momentum,industrial,bear_trending,4,50.0,11.25,-24.85,mid,LOW_SAMPLE,7.798
momentum,industrial,bear_choppy,9,33.3,3.24,-14.41,mid,LOW_SAMPLE,0.0
mean_reversion,industrial,bull_trending,11,9.1,-51.53,-65.93,mid,LOW_SAMPLE,0.0
mean_reversion,industrial,bull_choppy,18,22.2,-42.87,-55.32,mid,LOW_SAMPLE,0.0
mean_reversion,industrial,bear_trending,2,100.0,29.5,-14.65,mid,LOW_SAMPLE,20.448
mean_reversion,industrial,bear_choppy,2,50.0,1.01,-24.2,mid,LOW_SAMPLE,0.349
breakout,industrial,bull_trending,7,28.6,-12.57,-28.65,mid,LOW_SAMPLE,0.0
breakout,industrial,bull_choppy,3,66.7,4.0,-2.78,mid,LOW_SAMPLE,2.931
breakout,industrial,bear_trending,2,0.0,-32.0,-35.61,mid,LOW_SAMPLE,0.0
breakout,industrial,bear_choppy,1,0.0,-50.98,-27.51,mid,LOW_SAMPLE,0.0
supertrend,industrial,bull_trending,17,35.3,-38.69,-35.34,mid,LOW_SAMPLE,0.0
supertrend,industrial,bull_choppy,11,54.5,13.34,21.89,mid,LOW_SAMPLE,17.453
supertrend,industrial,bear_trending,5,40.0,-1.6,-41.89,mid,LOW_SAMPLE,0.0
supertrend,industrial,bear_choppy,3,0.0,-100.28,-31.35,mid,LOW_SAMPLE,0.0
stoch_rsi,industrial,bull_trending,15,26.7,-37.87,-47.26,mid,LOW_SAMPLE,0.0
stoch_rsi,industrial,bull_choppy,6,50.0,-31.1,-1.09,mid,LOW_SAMPLE,0.0
stoch_rsi,industrial,bear_trending,4,0.0,-39.5,-37.73,mid,LOW_SAMPLE,0.0
stoch_rsi,industrial,bear_choppy,7,14.3,-77.0,-30.9,mid,LOW_SAMPLE,0.0
vwap_reclaim,industrial,bull_trending,0,0.0,0.0,-21.9,mid,LOW_SAMPLE,0.0
vwap_reclaim,industrial,bull_choppy,0,0.0,0.0,-21.9,mid,LOW_SAMPLE,0.0
vwap_reclaim,industrial,bear_trending,0,0.0,0.0,-21.9,mid,LOW_SAMPLE,0.0
vwap_reclaim,industrial,bear_choppy,0,0.0,0.0,-21.9,mid,LOW_SAMPLE,0.0
gap,industrial,bull_trending,9,22.2,-38.7,-35.95,mid,LOW_SAMPLE,0.0
gap,industrial,bull_choppy,5,80.0,46.4,7.4,mid,LOW_SAMPLE,59.743
gap,industrial,bear_trending,1,0.0,-11.0,-30.28,mid,LOW_SAMPLE,0.0
gap,industrial,bear_choppy,6,16.7,-26.83,-42.0,mid,LOW_SAMPLE,0.0
liquidity_sweep,industrial,bull_trending,12,41.7,9.26,-13.11,mid,LOW_SAMPLE,9.59
liquidity_sweep,industrial,bull_choppy,11,54.5,3.78,1.39,mid,LOW_SAMPLE,4.944
liquidity_sweep,industrial,bear_trending,1,0.0,-208.22,-26.77,mid,LOW_SAMPLE,0.0
